iter	Passed	Remaining
768	4419	1327
769	4423	1321
770	4427	1315
771	4431	1308
772	4436	1302
773	4439	1296
774	4443	1290
775	4448	1284
776	4452	1277
777	4455	1271
778	4459	1265
779	4464	1259
780	4468	1253
781	4472	1246
782	4476	1240
783	4480	1234
784	4484	1228
785	4488	1222
786	4493	1216
787	4497	1210
788	4501	1203
789	4505	1197
790	4509	1191
791	4512	1185
792	4517	1179
793	4522	1173
794	4526	1167
795	4530	1161
796	4534	1155
797	4538	1148
798	4546	1143
799	4551	1137
800	4556	1131
801	4560	1125
802	4564	1119
803	4568	1113
804	4572	1107
805	4576	1101
806	4581	1095
807	4585	1089
808	4589	1083
809	4600	1079
810	4604	1073
811	4608	1067
812	4613	1061
813	4619	1055
814	4624	1049
815	4628	1043
816	4633	1037
817	4637	1031
818	4640	1025
819	4644	1019
820	4648	1013
821	4652	1007
822	4657	1001
823	4661	995
824	4665	989
825	4669	983
826	4675	978
827	4680	972
828	4684	966
829	4689	960
830	4694	954
831	4698	948
832	4703	942
833	4708	937
834	4712	931
835	4717	925
836	4721	919
837	4724	913
838	4729	907
839	4733	901
840	4737	895
841	4741	889
842	4746	883
843	4750	878
844	4754	872
845	4759	866
846	4762	860
847	4766	854
848	4771	848
849	4775	842
850	4779	836
851	4782	830
852	4786	824
853	4791	819
854	4795	813
855	4799	807
856	4803	801
857	4807	795
858	4812	789
859	4817	784
860	4820	778
861	4825	772
862	4829	766
863	4833	760
864	4837	754
865	4841	749
866	4846	743
867	4851	737
868	4855	732
869	4860	726
870	4864	720
871	4870	714
872	4876	709
873	4892	705
874	4904	700
875	4913	695
876	4924	690
877	4938	686
878	4943	680
879	4958	676
880	4964	670
881	4985	666
882	4990	661
883	4995	655
884	5004	650
885	5022	646
886	5039	641
887	5047	636
888	5059	631
889	5069	626
890	5078	621
891	5082	615
892	5091	610
893	5101	604
894	5107	599
895	5112	593
896	5119	587
897	5133	583
898	5139	577
899	5144	571
900	5154	566
901	5163	561
902	5168	555
903	5177	549
904	5187	544
905	5207	540
906	5221	535
907	5236	530
908	5242	524
909	5247	518
910	5254	513
911	5263	507
912	5271	502
913	5284	497
914	5296	491
915	5301	486
916	5307	480
917	5317	474
918	5323	469
919	5328	463
920	5333	457
921	5341	451
922	5346	445
923	5351	440
924	5356	434
925	5361	428
926	5368	422
927	5382	417
928	5388	411
929	5396	406
930	5401	400
931	5412	394
932	5419	389
933	5424	383
934	5428	377
935	5441	372
936	5453	366
937	5458	360
938	5464	354
939	5470	349
940	5476	343
941	5482	337
942	5486	331
943	5491	325
944	5496	319
945	5500	313
946	5504	308
947	5509	302
948	5514	296
949	5519	290
950	5523	284
951	5530	278
952	5535	273
953	5539	267
954	5543	261
955	5548	255
956	5552	249
957	5556	243
958	5560	237
959	5569	232
960	5574	226
961	5578	220
962	5582	214
963	5586	208
964	5590	202
965	5595	196
966	5599	191
967	5604	185
968	5607	179
969	5613	173
970	5617	167
971	5621	161
972	5625	156
973	5629	150
974	5634	144
975	5638	138
976	5642	132
977	5647	127
978	5651	121
979	5655	115
980	5660	109
981	5664	103
982	5668	98
983	5672	92
984	5677	86
985	5681	80
986	5685	74
987	5689	69
988	5693	63
989	5698	57
990	5702	51
991	5706	46
992	5710	40
993	5714	34
994	5718	28
995	5722	22
996	5726	17
997	5731	11
998	5735	5
999	5740	0
